Date,Close/Last,Volume,Open,High,Low
06/17/2020,$64.46,3099025,$64.55,$65.47,$63.6
06/16/2020,$63.34,4013579,$63.3,$63.94,$62.75
06/15/2020,$61,4572480,$59.9,$61.2,$59.26
06/12/2020,$60.38,7281704,$62.66,$63.63,$58.94
06/11/2020,$61.79,20306130,$62.11,$63.88,$61.05
06/10/2020,$59.05,18207680,$58,$60,$55.05
06/09/2020,$57.92,2298884,$56.7,$59.0399,$56.61
06/08/2020,$57.5,7302746,$60.83,$61,$55.08
06/05/2020,$60.53,10064950,$58.93,$64.19,$57.69
06/04/2020,$57.52,1820663,$58.41,$59.47,$56.7
06/03/2020,$58.49,1961284,$58.26,$59.15,$58.02
06/02/2020,$57.47,2442767,$58.68,$59.08,$56.7
06/01/2020,$58.75,2717972,$56.53,$59.11,$55.9
05/29/2020,$56.74,11526460,$53,$57.81,$52.7892
05/28/2020,$52.83,3115880,$55.41,$55.68,$52.66
05/27/2020,$55.36,3272903,$57.75,$57.75,$54.06
05/26/2020,$57.27,2712610,$57.98,$58.49,$57.02
05/22/2020,$57.35,2086892,$56.48,$57.4,$55.55
05/21/2020,$56.34,5024450,$57.54,$59.04,$55.91
05/20/2020,$57.52,7557186,$58.26,$58.79,$57.18
05/19/2020,$57.43,3712309,$57.25,$59.27,$55.75
05/18/2020,$57.67,5947263,$55,$58.69,$54.9935
05/15/2020,$54.97,9286152,$54.56,$56.74,$52.77
05/14/2020,$54.72,13408350,$56.69,$57.1499,$52
05/13/2020,$58.14,13826950,$58.51,$59.3,$55.73
05/12/2020,$60.39,46200800,$46.95,$64.94,$46.6
05/11/2020,$46.79,6584742,$46.14,$47.4,$44.6009
05/08/2020,$46.82,6579031,$45.84,$47.52,$45.03
05/07/2020,$44.89,9372715,$48,$49.5,$43.26
05/06/2020,$50.83,5853470,$48.29,$51.19,$47.61
05/05/2020,$47.79,2537524,$47.55,$48.74,$47.25
05/04/2020,$46.63,2159762,$44.59,$46.79,$43.85
05/01/2020,$45.49,2612376,$46.41,$47.2,$44.64
04/30/2020,$47.79,2850184,$47.3,$48.13,$45.65
04/29/2020,$47.47,2323618,$47.8,$48.49,$46.45
04/28/2020,$46.33,3955395,$48.09,$48.96,$44.94
04/27/2020,$46.68,3006090,$42.82,$47.21,$42.82
04/24/2020,$43.52,2436593,$42.5,$44.65,$42.21
04/23/2020,$42.05,2181826,$43.86,$44.34,$41.18
04/22/2020,$43.34,4009732,$41.95,$43.84,$41.405
04/21/2020,$40.93,3977354,$41.52,$41.8,$39.51
04/20/2020,$42.5,2750603,$41.38,$43.8,$41
04/17/2020,$42.5,4342553,$41.75,$42.66,$40.875
04/16/2020,$40.3,3507935,$40.77,$40.96,$39.2251
04/15/2020,$40.35,2940820,$40,$40.81,$39.2
04/14/2020,$41.8,5342111,$41.5,$43.12,$40.93
04/13/2020,$39.68,6369321,$41.35,$43.23,$38.52
04/09/2020,$45.09,3077954,$44.95,$46.98,$44.17
04/08/2020,$43.74,1718933,$42.74,$44.835,$42.3
04/07/2020,$42.09,2941714,$41.54,$43.86,$40.81
04/06/2020,$39.69,3143056,$36.05,$39.88,$36
04/03/2020,$34.27,2860519,$34.56,$36.44,$34.13
04/02/2020,$34.82,4561763,$38.97,$40.57,$34
04/01/2020,$39.58,2724486,$39.27,$40.52,$38.22
03/31/2020,$40.73,2491366,$39.58,$40.99,$39.26
03/30/2020,$39.55,2411010,$39.54,$40.82,$37.5
03/27/2020,$39.16,5243497,$37.24,$39.85,$35.67
03/26/2020,$38.16,4223848,$36.51,$39.03,$35.54
03/25/2020,$35.75,3843342,$35.8,$39.37,$34.37
03/24/2020,$34.65,3770788,$31.75,$35.89,$30.82
03/23/2020,$30.13,3531558,$32.59,$32.9599,$29.35
03/20/2020,$31.71,4985430,$38.04,$38.97,$31.7
03/19/2020,$36.81,3234170,$35.4,$38.41,$33.37
03/18/2020,$35.85,6169571,$38.33,$39.6032,$31.5
03/17/2020,$40.78,5985711,$38.76,$45.49,$34.98
03/16/2020,$36.35,6827225,$34,$42.36,$33.91
03/13/2020,$37.87,3500826,$37.69,$38.48,$34.57
03/12/2020,$35.5,4164415,$37.5,$38.43,$34.32
03/11/2020,$42.63,3162272,$47.82,$47.82,$41.5
03/10/2020,$48.73,3929639,$51.37,$51.63,$46.1
03/09/2020,$49.72,3539930,$48.26,$50.43,$47.52
03/06/2020,$51.9,3731281,$49.83,$52.15,$48.675
03/05/2020,$51.62,2090643,$51.34,$52.36,$50.02
03/04/2020,$52.76,2896813,$50,$53.01,$48.95
03/03/2020,$48.93,3141974,$49,$49.65,$46.86
