Date,Close/Last,Volume,Open,High,Low
01/16/2020,$102.16,1191808,$101.55,$102.31,$101.33
01/15/2020,$101.24,1607118,$100.86,$101.79,$100.75
01/14/2020,$100.72,2024402,$100.19,$100.97,$99.91
01/13/2020,$100.34,1569682,$101.74,$102.06,$100.28
01/10/2020,$101.69,1462355,$102.73,$102.89,$101.54
01/09/2020,$102.96,1790110,$102.57,$104.02,$102.4
01/08/2020,$102.15,1521513,$100.47,$102.98,$100.34
01/07/2020,$101.97,1408251,$101.75,$102.24,$101.54
01/06/2020,$101.79,1454130,$101.43,$101.8,$101.06
01/03/2020,$101.85,1145518,$101.42,$102.01,$100.36
01/02/2020,$102.17,1369919,$100.9,$102.19,$100.81
12/31/2019,$100.73,1271045,$100.67,$101.1652,$100.23
12/30/2019,$100.64,1185804,$101.64,$101.64,$100.45
12/27/2019,$101.9,1130456,$101.84,$102.2,$101.605
12/26/2019,$101.79,1177082,$100.61,$101.82,$100.3547
12/24/2019,$100.33,656381,$99.74,$100.46,$99.53
12/23/2019,$99.81,1205555,$100.87,$100.89,$99.775
12/20/2019,$100.59,2420163,$100.4,$101.04,$99.89
12/19/2019,$99.82,1808067,$98.59,$100.105,$98.465
12/18/2019,$98.74,2657405,$99.48,$99.72,$98.031
12/17/2019,$99.62,2298712,$99.325,$100.62,$98.67
12/16/2019,$100.89,1486010,$100.43,$101.26,$100.06
12/13/2019,$100.11,1199213,$99.53,$100.165,$98.9
12/12/2019,$99.83,1518889,$99.45,$100.29,$99.03
12/11/2019,$99.44,1675828,$99.66,$99.91,$98.98
12/10/2019,$99.24,1775145,$99.26,$99.415,$98.67
12/09/2019,$98.98,1802781,$98.68,$99.275,$98.53
12/06/2019,$98.77,1951250,$99.21,$99.59,$98.6
12/05/2019,$98.52,2184637,$99.24,$99.46,$98.28
12/04/2019,$99.2,1606164,$99.25,$99.66,$98.79
12/03/2019,$99.45,1940998,$100.44,$100.87,$99.18
12/02/2019,$100.56,1412863,$100.71,$100.95,$99.95
11/29/2019,$100.67,980621,$100.87,$101.19,$100.14
11/27/2019,$100.64,2316290,$99.78,$101.06,$99.57
11/26/2019,$99.75,4725742,$98.06,$99.77,$97.98
11/25/2019,$98.01,2056021,$97.49,$98.22,$97.47
